date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:36:54	85/85	---MCZ	200	added ('OK')	text/plain	etag:W/%2241-5d947ea28c880%22	https://saveukraine.org/robots.txt		(from )
02:36:55	171298/171298	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202024%2001:36:54%20GMT	https://saveukraine.org/	C:/My%20Web%20Sites/pels/saveukraine.org/index.html	(from )
02:37:01	156167/156167	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202024%2001:36:56%20GMT	https://saveukraine.org/de/	C:/My%20Web%20Sites/pels/saveukraine.org/de/index.html	(from https://saveukraine.org/)
02:37:01	178880/178880	---M--	200	added ('OK')	image/png	etag:%222bac0-5dae45485b240%22	https://saveukraine.org/wp-content/uploads/2022/03/save_ukraine4-1.png	C:/My%20Web%20Sites/pels/saveukraine.org/wp-content/uploads/2022/03/save_ukraine4-1.png	(from https://saveukraine.org/)
02:37:02	155819/155819	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202024%2001:36:56%20GMT	https://saveukraine.org/pt/	C:/My%20Web%20Sites/pels/saveukraine.org/pt/index.html	(from https://saveukraine.org/)
02:37:02	166394/166394	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202024%2001:36:56%20GMT	https://saveukraine.org/ua/	C:/My%20Web%20Sites/pels/saveukraine.org/ua/index.html	(from https://saveukraine.org/)
02:37:02	156391/156391	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202024%2001:37:01%20GMT	https://saveukraine.org/pl/	C:/My%20Web%20Sites/pels/saveukraine.org/pl/index.html	(from https://saveukraine.org/)
02:37:02	17205/17205	---M-Z	200	added ('OK')	application/rss+xml	etag:%229b3d46354e0ef64e711442fb83725034-gzip%22	https://saveukraine.org/feed	C:/My%20Web%20Sites/pels/saveukraine.org/feed	(from https://saveukraine.org/)
02:37:03	163738/163738	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202024%2001:37:02%20GMT	https://saveukraine.org/it/	C:/My%20Web%20Sites/pels/saveukraine.org/it/index.html	(from https://saveukraine.org/)
02:37:04	120429/120429	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Feb%202024%2001:37:03%20GMT	https://saveukraine.org/comments/feed	C:/My%20Web%20Sites/pels/saveukraine.org/comments/feed	(from https://saveukraine.org/)
02:37:04	83419/83419	---M-Z	200	added ('OK')	text/css	etag:%22145db-5dbee0ae480c0-gzip%22	https://saveukraine.org/wp-includes/css/dist/block-library/style.min.css?ver=5.9.9	C:/My%20Web%20Sites/pels/saveukraine.org/wp-includes/css/dist/block-library/style.min4dc9.css	(from https://saveukraine.org/)
02:37:04	9232/9232	---M-Z	200	added ('OK')	text/css	etag:%222410-5d958754ec800-gzip%22	https://saveukraine.org/wp-content/plugins/bearsthemes-addons/assets/css/tooltipster.css?ver=5.9.9	C:/My%20Web%20Sites/pels/saveukraine.org/wp-content/plugins/bearsthemes-addons/assets/css/tooltipster4dc9.css	(from https://saveukraine.org/)
